uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimSizeMD
2009,Female,A,Medium,Housewife,41,0,24940,1,273,740
2009,Male,B,Small,Unemployed,25,12,48945,0,190,207
2009,Female,E,Small,Employed,29,7,1525,0,225,803
2009,Male,A,Small,Self-employed,47,12,18480,1,129,868
2009,Female,C,Large,Employed,47,7,8690,0,290,1746
2009,Female,B,Medium,Unemployed,35,0,6115,1,89,1648
2009,Female,A,Medium,Housewife,46,4,11965,0,250,407
2009,Male,A,Small,Housewife,29,7,19990,1,29,190
2009,Male,C,Medium,Retired,69,12,27715,1,205,3839
2009,Male,A,Medium,Unemployed,43,11,14330,1,259,1410
2009,Female,B,Large,Retired,61,14,12555,1,285,326
2009,Male,C,Large,Unemployed,20,8,18530,0,26,1651
2009,Female,A,Medium,Employed,50,0,21935,1,145,268
2009,Male,B,Medium,Employed,25,1,29030,0,51,1772
2009,Male,C,Large,Employed,25,3,15080,0,72,363
2009,Male,E,Large,Employed,20,2,22370,1,40,496
2009,Female,E,Large,Unemployed,42,0,39650,0,170,1178
2009,Female,C,Medium,Housewife,21,0,12600,1,59,283
2009,Female,D,Large,Employed,33,10,9065,0,110,418
2009,Female,D,Small,Employed,26,7,27335,1,48,119
2009,Female,C,Small,Unemployed,20,13,7710,0,78,1302
2009,Female,B,Medium,Employed,29,12,8965,0,273,2874
2009,Male,E,Medium,Unemployed,31,10,21030,1,251,132
2009,Male,D,Medium,Employed,35,1,19995,1,145,9
2009,Male,C,Small,Employed,27,0,18395,0,167,1996
2009,Female,A,Large,Housewife,65,15,11880,0,223,115
2009,Female,A,Medium,Unemployed,25,2,23130,0,108,79
2009,Male,D,Small,Unemployed,24,8,15680,0,33,581
2009,Male,D,Small,Employed,21,0,33920,0,103,132
2009,Female,A,Small,Employed,29,0,11370,0,32,312
2009,Male,D,Small,Unemployed,22,6,23130,0,286,569
2009,Female,D,Large,Unemployed,21,5,8695,0,112,1351
2009,Male,A,Small,Self-employed,18,2,11925,0,297,3138
2009,Male,D,Large,Employed,34,3,4190,0,31,466
2009,Male,B,Small,Employed,41,1,5020,0,62,368
2009,Male,B,Medium,Employed,48,12,18335,0,77,740
2009,Male,A,Small,Employed,21,4,6050,1,67,249
2009,Male,A,Large,Employed,27,0,27630,0,170,518
2009,Female,A,Large,Self-employed,47,3,41845,0,271,1857
2009,Male,B,Medium,Self-employed,51,3,27000,0,46,1752
2009,Male,C,Medium,Housewife,38,0,26040,0,58,2215
2009,Male,B,Medium,Employed,45,14,18035,1,51,719
2009,Male,A,Small,Housewife,23,7,44645,0,223,1422
2009,Female,B,Small,Housewife,35,3,14015,1,34,38
2009,Male,D,Large,Unemployed,23,15,7445,0,32,236
2009,Male,C,Small,Employed,35,2,7825,0,27,703
2009,Male,D,Medium,Unemployed,22,7,10325,0,122,649
2009,Male,A,Medium,Employed,22,3,6185,1,171,882
2009,Male,C,Small,Housewife,28,0,27395,0,69,1057
2009,Female,C,Large,Employed,29,5,8675,0,27,745
2009,Male,E,Large,Employed,47,1,13850,0,115,96
2009,Female,E,Small,Self-employed,29,3,7270,1,190,811
